Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
78,GEMS Royal Dubai School,5,5,5,5,5,,,5,5,,,5,5,,,5,4,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,5,5,5
31,GEMS United School,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,3,5
79,GEMS Wellington Academy (Branch),4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
80,GEMS Wellington Academy- Al Khail,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4
81,GEMS Wellington International School,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
82,GEMS Wellington Primary School,4,4,4,5,5,,,4,5,,,4,4,,,4,4,,,4,4,,,5,5,,,4,4,,,5,5,,,5,5,,,4,4,5,4,5
83,GEMS Winchester School,2,2,2,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,4,4,4,4,2,2,2,2,2,3,3,2,2
84,GEMS World Academy,3,4,4,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5
85,German International School Dubai,3,3,3,5,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,5,5,5,5,4,4,4,4,3,2,3,4,3
86,Grammar School,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1
